884853894861839,1,1,2
871261712889121,1,0,1
661463503901029,2,1,3
710746335642827,2,2,4
862563227128586,1,1,2
10152468535403055,1,1,2
861661527263437,2,2,4
756227704424343,2,1,3
10207811054497413,1,0,1
10152530026361147,2,2,4
552615544850798,1,1,2
10153455623592776,1,1,2
1012787272066823,1,0,1
653342368100903,1,1,2
10208061074297284,2,1,3
10206938349674994,2,2,4
826996267349527,1,0,1
829086177152398,1,0,1
713975912029444,1,1,2
782509381839166,1,0,1
708259865900348,2,2,4
10153951853892241,1,1,2
688733797896263,1,0,1
10202629986583379,1,1,2
10153276908829367,2,2,4
648824725219055,3,3,6
1543584255917410,1,1,2
1065462590177746,3,1,4
655868267855142,1,0,1
762454633829976,1,1,2
648228571893713,1,0,1
279936805518581,1,0,1
100001198492623,1,0,1
664275707001600,1,1,2
1705188733095317,1,1,2
1683009538583185,2,2,4
1289974727683272,0,0,1
1009984172409831,1,1,2
1408473746096548,4,2,6
1690311744558713,1,1,2
10204976284116225,1,1,2
967416779967092,1,1,2
10152029900512245,3,1,4
10204906268233162,3,2,5
10152859701164154,1,1,2
626038247515010,2,1,3
690897384289946,1,0,1
10201957137910126,1,0,1
695757520480579,1,0,1
695383927231276,1,0,1
746804395363997,2,0,2
10201879630301020,2,2,4
729548327096724,2,1,3
735511899838396,1,1,2
100003256673199,2,0,2
759201504145743,1,1,2
10152745363884143,1,1,2
1728677367369059,1,0,1
196986727350394,1,1,2
10204749169871278,1,0,1
1158882074122577,1,1,2
830858017031485,1,1,2
490046804509817,1,1,2
241854459335646,1,1,2
10152844227544195,1,1,2
720772551374298,1,1,2
853707511379346,1,1,2
10205383638342088,1,1,2
892943654053787,1,1,2
1033650520032587,1,0,1
10152070681607711,1,1,2
503134916493055,1,0,1
781376001898690,1,1,2
638278962928083,2,1,3
10153434488528266,1,0,1
10203128892702143,1,0,1
687783381323872,1,1,2
10201714622945588,1,0,1
10153471651343514,1,0,1
628187290593887,1,1,2
10152382960203451,1,0,1
1452320638385387,1,1,2
967860409905393,2,2,4
10207161794785654,1,0,1
10207402303348784,1,1,2
213722185668356,1,0,1
665249283523841,2,0,2
10102296580511075,5,2,7
10203381173983627,1,1,2
904820989601484,1,1,2
840575395965666,1,0,1
685819294810440,2,1,3
857709324299530,3,2,5
853391968037025,1,0,1
10152488689618552,1,1,2
1407582926199265,1,1,2
1471481245,1,0,1
820451411344635,1,1,2
649143521856454,2,1,3
786966014783651,1,0,1
1009920342392840,2,1,3
811280822256316,1,1,2
909506822442015,1,1,2
871455799573187,1,1,2
10203567795776070,1,0,1
10203234130466698,1,0,1
610461122419837,1,0,1
847569165254348,1,0,1
188527728156099,1,0,1
652892178099099,2,1,3
159305154452386,1,1,2
1017680174934190,1,0,1
10204381273920848,1,1,2
486875401414050,1,1,2
134875286560854,1,0,1
820033338030547,1,1,2
737407706311740,1,1,2
1031145060250452,3,2,5
682435185176511,2,2,4
